4	博多駅目の前で立地的には最高です。建物自体が少し古いので少しくたびれた感はありますが施設内、部屋はしっかりと清掃されているので全く問題なしです。建物地下や近隣に美味しい飲食店があるのも助かります。なによりこの内容で非常にリーズナブルな価格で泊まれるのはお薦めです。
4	４/16OBの方を宿泊させる為に利用しました。前日に、宿泊料金を支払いに伺いましたが、フロントの対応も丁寧でした。繁華街へはタクシー利用しましたが、遠くもなく、博多駅前の立地が良いです
4	博多駅前の最高のロケーションです。値打ちあります。部屋の設備は古いです。不便はしません。朝食は豪華ではありませんが、無料サービスとするなら十分です。博多だから、辛子明太子があれば。枕を借りました。受付の方は親切でした。１階でコーヒーが飲めるのはとても良いです。今回の料金なら、リピートします。
3	バイキング式の朝食をいただきました。野菜がたくさん採れてうれしかったです。食堂スタッフの方も感じがよかったです。設備は古いものの、テレビやベッドサイドなど過ごしやすい設置でリラックスできました。
4	場所も朝食も非常に良い。
1	アプリ金額と、ホテルでの請求額が違い苛立った。4100円支払ったぞ!
4	JR博多駅から直ぐの立地にあり、雨降りの日でも地下道で濡れずに行けます。
4	緊急事態宣言中に博多のホテルを5か所ほど各1週間ほど利用させてもらった一つのホテルになります。駅近+朝食付きでリーズナブルに利用できました。緊急事態宣言中ということもあり、外食が難しかったので朝食の水炊きスープには博多を感じさせていただきました。ホテル部屋からウェブ会議も十分でした。
5	博多駅からのアクセスもよく、コスパもよかったです。館内案内は紙で渡されただけだったのでしたが、フロントでの説明が欲しかったです。
4	朝食はシンプルですが、美味しかったです。感染対策もしっかりして、安心して利用できました
4	義兄弟の結婚式に参加する為に利用しました。博多駅からも徒歩5分程度でアクセス良好で、子連れゆえに助かりました。チェックイン前に荷物を預けることができ、ちょっと観光に行くのも身軽に行けました。部屋、お風呂、朝食とビジネスホテルとして普通な印象。観光などの拠点として宿泊するには充分です。お値段も抑えられて良かったです。
4	3月5日に宿泊しました。当日paypayドームに行き次の日から東京に行く用事があったので、空港へのアクセスでこちらの宿にしました。立地は最高でした。スタッフの方の対応も満足でした。建物は古かったですが、室内の清掃はきちんとされてよかったです。ただトイレだけが機能が古くて使いづらかったです。
4	2時にチェックイン出来るのは便利。食堂がもう少し余裕あれば。
5	雨でも駅からほぼ濡れずにダイレクトアクセス！中州や天神も徒歩圏内で便利でした
4	3/18から宿泊しました、立地が良く便利でした。
3	ウォシュレットが古くて使いづらかった。
4	お部屋は広いくて快適だったのですが、古さは否めなくて、浴室の臭いは気になりました。あとは、目覚まし時計が、従業員のかたの使い古しなんやろか？って感じがしました。朝食は、軽く食べれて満足でしたし、スムージー美味しく頂きました。博多駅のホントに近くで、便利で立地は問題なし!！お値段を、考えると大満足です。また、利用すると思います。
4	駅に近くあいにくの雨にも地下通路で駅まで行けました。welcome珈琲が嬉しかったです。できれば粉茶ではない方が美味しいかな？
2	場所は博多駅すぐで利用日雨でしたが地下から駅と行き来出来た為非常によかったです。またスタッフの方の対応も丁寧でした。ただ建物自体が古く部屋もリフォームなどされていないため古い感じ。設備についても部屋にドライヤーが置いてありますが鏡がなかったり、冷蔵庫がうるさかったりと不満でした。また無料の朝食は自腹でコンビニでパン買うよりかはいいかなレベルです。そこらへん気にならない
